Category,Item Name,Price
Hot,Espresso,145
Hot,Americano,175
Hot,Cappuccino,195
Hot,Flat White,195
Hot,Hot Latte,195
Hot,Hot Mocha,245
Hot,French Press,175
Hot,Caramel Latte,245
Cold,Iced Latte,225
Cold,Cold Coffee Regular,215
Cold,Irish Cold Coffee,215
Cold,Vietnamese Cold Coffee,215
Cold,Fresh Coconut Americano,295
USCO Specials,Masala Chai,110
USCO Specials,Premium Tea,110
USCO Specials,Sweet Lime Juice (Mosambi),175
USCO Specials,Coconut Water,175
USCO Specials,Refreshing Lemon Ice Tea,175
USCO Specials,Fresh Lemonade Water or Soda,145 / 175
Nibbles,Chilli Cheese Toast,175
Nibbles,Regular Fries/Peri Peri Fries,195
Gelato,Vanilla Bean Gelato,180
Gelato,Dark Chocolate Gelato,190

